day,A,ABC,ABMD,ABT
14/11/2019,76.76000214,86.12999725,220.9499969,84.12000275
15/11/2019,78.26000214,87.30000305,223.2299957,85.70999908
18/11/2019,77.94000244,87.76999664,178.0899963,84.26000214
19/11/2019,79.29000092,87.80999756,184.3399963,84.29000092
20/11/2019,78.51999664,87.55000305,185.25,83.88999939
21/11/2019,78.30000305,88.30999756,186.6600037,83.68000031
22/11/2019,79.12000275,90.26000214,182,83.73999786
25/11/2019,80.26000214,90.63999939,187.5700073,84.48999786
26/11/2019,80.94999695,87.84999847,194.2599945,85.41999817
27/11/2019,81.08000183,88.51000214,196.7899933,85.41999817
29/11/2019,80.76999664,87.91000366,196.1799927,85.44999695
02/12/2019,80.34999847,87.83000183,192.2200012,84.51000214
03/12/2019,80.09999847,87.43000031,191.1499939,84.36000061
04/12/2019,80.93000031,88.36000061,193.8899994,85.18000031
05/12/2019,81.52999878,87.81999969,189.0700073,85.23999786
06/12/2019,82.20999908,88.23999786,189.2200012,85.48000336
09/12/2019,81.62000275,86.38999939,181.6900024,83.87000275
10/12/2019,82.93000031,86.76000214,179.75,84.55999756
11/12/2019,83.41999817,86.66000366,178.8699951,84.91000366
12/12/2019,84.80999756,86.79000092,179.1499939,85.97000122
13/12/2019,83.70999908,84.84999847,181.8500061,86.34999847
16/12/2019,84.44999695,85.95999908,176.3099976,86.40000153
17/12/2019,83.94999695,83.15000153,178.9299927,87.05999756
18/12/2019,83.43000031,83.55000305,177.0099945,86.93000031
